GeoName,Education,Sex,Industry,Median Income
Prince Edward Island,Master's degree,Male,Science and science technology,69152
Prince Edward Island,Master's degree,Male,Engineering and engineering technology,83969
Prince Edward Island,Master's degree,Male,Mathematics and computer and information science,75817
Prince Edward Island,Master's degree,Male,Business and administration,87675
Prince Edward Island,Master's degree,Male,Arts and humanities,69780
Prince Edward Island,Master's degree,Male,Social and behavioural sciences,91071
Prince Edward Island,Master's degree,Male,Legal professions and studies,0
Prince Edward Island,Master's degree,Male,Health care,61917
Prince Edward Island,Master's degree,Male,Education and teaching,80177
Prince Edward Island,Master's degree,Male,"Trades, services, natural resources and conservation",74341
Prince Edward Island,Master's degree,Female,Science and science technology,68689
Prince Edward Island,Master's degree,Female,Engineering and engineering technology,0
Prince Edward Island,Master's degree,Female,Mathematics and computer and information science,0
Prince Edward Island,Master's degree,Female,Business and administration,74106
Prince Edward Island,Master's degree,Female,Arts and humanities,42749
Prince Edward Island,Master's degree,Female,Social and behavioural sciences,75294
Prince Edward Island,Master's degree,Female,Legal professions and studies,0
Prince Edward Island,Master's degree,Female,Health care,71875
Prince Edward Island,Master's degree,Female,Education and teaching,80474
Prince Edward Island,Master's degree,Female,"Trades, services, natural resources and conservation",71001
Prince Edward Island,Earned doctorate,Both sexes,Science and science technology,99660
Prince Edward Island,Earned doctorate,Both sexes,Engineering and engineering technology,0
Prince Edward Island,Earned doctorate,Both sexes,Mathematics and computer and information science,0
Prince Edward Island,Earned doctorate,Both sexes,Business and administration,0
Prince Edward Island,Earned doctorate,Both sexes,Arts and humanities,76397
Prince Edward Island,Earned doctorate,Both sexes,Social and behavioural sciences,116024
Prince Edward Island,Earned doctorate,Both sexes,Legal professions and studies,0
Prince Edward Island,Earned doctorate,Both sexes,Health care,0
Prince Edward Island,Earned doctorate,Both sexes,Education and teaching,0
Prince Edward Island,Earned doctorate,Both sexes,"Trades, services, natural resources and conservation",0
Prince Edward Island,Earned doctorate,Male,Science and science technology,110225
Prince Edward Island,Earned doctorate,Male,Engineering and engineering technology,0
Prince Edward Island,Earned doctorate,Male,Mathematics and computer and information science,0
Prince Edward Island,Earned doctorate,Male,Business and administration,0
Prince Edward Island,Earned doctorate,Male,Arts and humanities,66497
Prince Edward Island,Earned doctorate,Male,Social and behavioural sciences,125532
Prince Edward Island,Earned doctorate,Male,Legal professions and studies,0
Prince Edward Island,Earned doctorate,Male,Health care,0
Prince Edward Island,Earned doctorate,Male,Education and teaching,0
Prince Edward Island,Earned doctorate,Male,"Trades, services, natural resources and conservation",0
Prince Edward Island,Earned doctorate,Female,Science and science technology,86259
Prince Edward Island,Earned doctorate,Female,Engineering and engineering technology,0
Prince Edward Island,Earned doctorate,Female,Mathematics and computer and information science,0
Prince Edward Island,Earned doctorate,Female,Business and administration,0
Prince Edward Island,Earned doctorate,Female,Arts and humanities,0
Prince Edward Island,Earned doctorate,Female,Social and behavioural sciences,111735
Prince Edward Island,Earned doctorate,Female,Legal professions and studies,0
Prince Edward Island,Earned doctorate,Female,Health care,0
Prince Edward Island,Earned doctorate,Female,Education and teaching,0
Prince Edward Island,Earned doctorate,Female,"Trades, services, natural resources and conservation",0
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Science and science technology,61100
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Engineering and engineering technology,65188
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Mathematics and computer and information science,48800
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Business and administration,41361
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Arts and humanities,36890
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Social and behavioural sciences,34145
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Legal professions and studies,43157
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Health care,42440
Nova Scotia,"College, CEGEP or other non-university certificate or diploma",Both sexes,Education and teaching,40570
