GeoName,Education,Age,Sex,Industry,Median Income
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Engineering and engineering technology,75865
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Mathematics and computer and information science,83746
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Business and administration,79492
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Arts and humanities,62215
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Social and behavioural sciences,71730
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Legal professions and studies,110240
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Health care,87219
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,Education and teaching,80304
Canada,"University certificate, diploma or degree at bachelor level or above",45 to 59 years,Female,"Trades, services, natural resources and conservation",75283
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Science and science technology,70497
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Engineering and engineering technology,63508
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Mathematics and computer and information science,82506
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Business and administration,68258
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Arts and humanities,58871
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Social and behavioural sciences,65069
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Legal professions and studies,115046
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Health care,89498
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,Education and teaching,75644
Canada,"University certificate, diploma or degree at bachelor level or above",60 years and over,Female,"Trades, services, natural resources and conservation",75481
Canada,Bachelor's degree,15 to 29 years,Male,Science and science technology,44048
Canada,Bachelor's degree,15 to 29 years,Male,Engineering and engineering technology,65984
Canada,Bachelor's degree,15 to 29 years,Male,Mathematics and computer and information science,58805
Canada,Bachelor's degree,15 to 29 years,Male,Business and administration,50698
Canada,Bachelor's degree,15 to 29 years,Male,Arts and humanities,38622
Canada,Bachelor's degree,15 to 29 years,Male,Social and behavioural sciences,44681
Canada,Bachelor's degree,15 to 29 years,Male,Legal professions and studies,51951
Canada,Bachelor's degree,15 to 29 years,Male,Health care,62983
Canada,Bachelor's degree,15 to 29 years,Male,Education and teaching,48567
Canada,Bachelor's degree,15 to 29 years,Male,"Trades, services, natural resources and conservation",47403
Canada,Bachelor's degree,30 to 44 years,Male,Science and science technology,75687
Canada,Bachelor's degree,30 to 44 years,Male,Engineering and engineering technology,89222
Canada,Bachelor's degree,30 to 44 years,Male,Mathematics and computer and information science,81896
Canada,Bachelor's degree,30 to 44 years,Male,Business and administration,78225
Canada,Bachelor's degree,30 to 44 years,Male,Arts and humanities,58825
Canada,Bachelor's degree,30 to 44 years,Male,Social and behavioural sciences,71727
Canada,Bachelor's degree,30 to 44 years,Male,Legal professions and studies,98572
Canada,Bachelor's degree,30 to 44 years,Male,Health care,83614
Canada,Bachelor's degree,30 to 44 years,Male,Education and teaching,73994
Canada,Bachelor's degree,30 to 44 years,Male,"Trades, services, natural resources and conservation",70807
Canada,Bachelor's degree,45 to 59 years,Male,Science and science technology,84470
Canada,Bachelor's degree,45 to 59 years,Male,Engineering and engineering technology,96258
Canada,Bachelor's degree,45 to 59 years,Male,Mathematics and computer and information science,94812
Canada,Bachelor's degree,45 to 59 years,Male,Business and administration,91888
Canada,Bachelor's degree,45 to 59 years,Male,Arts and humanities,68703
Canada,Bachelor's degree,45 to 59 years,Male,Social and behavioural sciences,84223
Canada,Bachelor's degree,45 to 59 years,Male,Legal professions and studies,123281
Canada,Bachelor's degree,45 to 59 years,Male,Health care,90016
Canada,Bachelor's degree,45 to 59 years,Male,Education and teaching,81969
Canada,Bachelor's degree,45 to 59 years,Male,"Trades, services, natural resources and conservation",79743
Canada,Bachelor's degree,60 years and over,Male,Science and science technology,70101
Canada,Bachelor's degree,60 years and over,Male,Engineering and engineering technology,85992
Canada,Bachelor's degree,60 years and over,Male,Mathematics and computer and information science,88268
Canada,Bachelor's degree,60 years and over,Male,Business and administration,74085
Canada,Bachelor's degree,60 years and over,Male,Arts and humanities,55884
Canada,Bachelor's degree,60 years and over,Male,Social and behavioural sciences,65310
Canada,Bachelor's degree,60 years and over,Male,Legal professions and studies,117813
Canada,Bachelor's degree,60 years and over,Male,Health care,83306
Canada,Bachelor's degree,60 years and over,Male,Education and teaching,64788
Canada,Bachelor's degree,60 years and over,Male,"Trades, services, natural resources and conservation",66447
Canada,Bachelor's degree,15 to 29 years,Female,Science and science technology,40779
Canada,Bachelor's degree,15 to 29 years,Female,Engineering and engineering technology,64989
Canada,Bachelor's degree,15 to 29 years,Female,Mathematics and computer and information science,53453
Canada,Bachelor's degree,15 to 29 years,Female,Business and administration,47479
Canada,Bachelor's degree,15 to 29 years,Female,Arts and humanities,37457
Canada,Bachelor's degree,15 to 29 years,Female,Social and behavioural sciences,41070
Canada,Bachelor's degree,15 to 29 years,Female,Legal professions and studies,46102
Canada,Bachelor's degree,15 to 29 years,Female,Health care,68463
Canada,Bachelor's degree,15 to 29 years,Female,Education and teaching,46713
Canada,Bachelor's degree,15 to 29 years,Female,"Trades, services, natural resources and conservation",44445
Canada,Bachelor's degree,30 to 44 years,Female,Science and science technology,65133
Canada,Bachelor's degree,30 to 44 years,Female,Engineering and engineering technology,79132
Canada,Bachelor's degree,30 to 44 years,Female,Mathematics and computer and information science,68715
Canada,Bachelor's degree,30 to 44 years,Female,Business and administration,62742
Canada,Bachelor's degree,30 to 44 years,Female,Arts and humanities,52640
Canada,Bachelor's degree,30 to 44 years,Female,Social and behavioural sciences,59682
Canada,Bachelor's degree,30 to 44 years,Female,Legal professions and studies,83657
Canada,Bachelor's degree,30 to 44 years,Female,Health care,79108
Canada,Bachelor's degree,30 to 44 years,Female,Education and teaching,68001
Canada,Bachelor's degree,30 to 44 years,Female,"Trades, services, natural resources and conservation",62853
Canada,Bachelor's degree,45 to 59 years,Female,Science and science technology,69817
Canada,Bachelor's degree,45 to 59 years,Female,Engineering and engineering technology,68852
Canada,Bachelor's degree,45 to 59 years,Female,Mathematics and computer and information science,83225
Canada,Bachelor's degree,45 to 59 years,Female,Business and administration,71573
Canada,Bachelor's degree,45 to 59 years,Female,Arts and humanities,59971
Canada,Bachelor's degree,45 to 59 years,Female,Social and behavioural sciences,67927
Canada,Bachelor's degree,45 to 59 years,Female,Legal professions and studies,106204
Canada,Bachelor's degree,45 to 59 years,Female,Health care,85088
Canada,Bachelor's degree,45 to 59 years,Female,Education and teaching,77097
Canada,Bachelor's degree,45 to 59 years,Female,"Trades, services, natural resources and conservation",70435
Canada,Bachelor's degree,60 years and over,Female,Science and science technology,60124
Canada,Bachelor's degree,60 years and over,Female,Engineering and engineering technology,56467
Canada,Bachelor's degree,60 years and over,Female,Mathematics and computer and information science,72189
Canada,Bachelor's degree,60 years and over,Female,Business and administration,58672
Canada,Bachelor's degree,60 years and over,Female,Arts and humanities,54267
Canada,Bachelor's degree,60 years and over,Female,Social and behavioural sciences,58858
Canada,Bachelor's degree,60 years and over,Female,Legal professions and studies,113466
Canada,Bachelor's degree,60 years and over,Female,Health care,85254
Canada,Bachelor's degree,60 years and over,Female,Education and teaching,66336
Canada,Bachelor's degree,60 years and over,Female,"Trades, services, natural resources and conservation",68160
Canada,Master's degree,15 to 29 years,Male,Science and science technology,42764
Canada,Master's degree,15 to 29 years,Male,Engineering and engineering technology,62887
Canada,Master's degree,15 to 29 years,Male,Mathematics and computer and information science,60803
Canada,Master's degree,15 to 29 years,Male,Business and administration,61426
Canada,Master's degree,15 to 29 years,Male,Arts and humanities,37935
Canada,Master's degree,15 to 29 years,Male,Social and behavioural sciences,52592
Canada,Master's degree,15 to 29 years,Male,Legal professions and studies,56487
Canada,Master's degree,15 to 29 years,Male,Health care,64542
Canada,Master's degree,15 to 29 years,Male,Education and teaching,55047
Canada,Master's degree,15 to 29 years,Male,"Trades, services, natural resources and conservation",53831
Canada,Master's degree,30 to 44 years,Male,Science and science technology,76413
Canada,Master's degree,30 to 44 years,Male,Engineering and engineering technology,90939
Canada,Master's degree,30 to 44 years,Male,Mathematics and computer and information science,84513
Canada,Master's degree,30 to 44 years,Male,Business and administration,95404
Canada,Master's degree,30 to 44 years,Male,Arts and humanities,59444
Canada,Master's degree,30 to 44 years,Male,Social and behavioural sciences,76938
Canada,Master's degree,30 to 44 years,Male,Legal professions and studies,97551
Canada,Master's degree,30 to 44 years,Male,Health care,83611
Canada,Master's degree,30 to 44 years,Male,Education and teaching,86744
